longName,symbol,marketCap,exchange
Microsoft Corporation,MSFT,3094183936000,NMS
Apple Inc.,AAPL,2665580593152,NMS
NVIDIA Corporation,NVDA,2195912523776,NMS
"Amazon.com, Inc.",AMZN,1811770245120,NMS
Alphabet Inc.,GOOG,1761315782656,NMS
Alphabet Inc.,GOOGL,1760556875776,NMS
"Meta Platforms, Inc.",META,1234169364480,NMS
Berkshire Hathaway Inc.,BRK-B,885225816064,NYQ
Berkshire Hathaway Inc.,BRK-A,885223063552,NYQ
Eli Lilly and Company,LLY,716585172992,NYQ
Taiwan Semiconductor Manufacturing Company Limited,TSM,710516604928,NYQ
Novo Nordisk A/S,NVO,590691893248,NYQ
Visa Inc.,V,581384011776,NYQ
Broadcom Inc.,AVGO,572556640256,NMS
JPMorgan Chase & Co.,JPM,548134420480,NYQ
"Tesla, Inc.",TSLA,520936128512,NMS
Walmart Inc.,WMT,488643297280,NYQ
UnitedHealth Group Incorporated,UNH,452503666688,NYQ
Mastercard Incorporated,MA,443898003456,NYQ
Exxon Mobil Corporation,XOM,441501548544,NYQ
Johnson & Johnson,JNJ,381178970112,NYQ
ASML Holding N.V.,ASML,380767174656,NMS
The Procter & Gamble Company,PG,379730362368,NYQ
"The Home Depot, Inc.",HD,369876926464,NYQ
Oracle Corporation,ORCL,345047957504,NYQ
Costco Wholesale Corporation,COST,321819803648,NMS
Toyota Motor Corporation,TM,316980985856,NYQ
AbbVie Inc.,ABBV,314219692032,NYQ
"Advanced Micro Devices, Inc.",AMD,308712833024,NMS
"Merck & Co., Inc.",MRK,307766394880,NYQ
Chevron Corporation,CVX,288898351104,NYQ
"Salesforce, Inc.",CRM,285500080128,NYQ
Bank of America Corporation,BAC,279407558656,NYQ
"Netflix, Inc.",NFLX,262200623104,NMS
The Coca-Cola Company,KO,258230091776,NYQ
Accenture plc,ACN,234871209984,NYQ
"Fomento Económico Mexicano, S.A.B. de C.V.",FMX,228970299392,NYQ
"PepsiCo, Inc.",PEP,226313633792,NMS
Linde plc,LIN,225488338944,NMS
SAP SE,SAP,223593644032,NYQ
Adobe Inc.,ADBE,222860787712,NMS
Thermo Fisher Scientific Inc.,TMO,222743412736,NYQ
Shell plc,SHEL,212028358656,NYQ
AstraZeneca PLC,AZN,206416396288,NMS
Wells Fargo & Company,WFC,205738573824,NYQ
The Walt Disney Company,DIS,205349879808,NYQ
McDonald's Corporation,MCD,201553330176,NYQ
Abbott Laboratories,ABT,200395931648,NYQ
Novartis AG,NVS,198822789120,NYQ
"Cisco Systems, Inc.",CSCO,198126862336,NMS
"T-Mobile US, Inc.",TMUS,192047431680,NMS
QUALCOMM Incorporated,QCOM,186595196928,NMS
General Electric Company,GE,184642371584,NYQ
Danaher Corporation,DHR,184481677312,NYQ
Alibaba Group Holding Limited,BABA,183810637824,NYQ
Intel Corporation,INTC,180281917440,NMS
International Business Machines Corporation,IBM,175162474496,NYQ
Intuit Inc.,INTU,175132475392,NMS
Caterpillar Inc.,CAT,173268828160,NYQ
Comcast Corporation,CMCSA,169876455424,NMS
Verizon Communications Inc.,VZ,166026625024,NYQ
"Applied Materials, Inc.",AMAT,165057691648,NMS
PDD Holdings Inc.,PDD,164399710208,NMS
TotalEnergies SE,TTE,159804129280,NYQ
Pfizer Inc.,PFE,158211358720,NYQ
American Express Company,AXP,158136647680,NYQ
"Uber Technologies, Inc.",UBER,157959356416,NYQ
Texas Instruments Incorporated,TXN,157002858496,NMS
"ServiceNow, Inc.",NOW,152501551104,NYQ
Blackstone Inc.,BX,151447388160,NYQ
"NIKE, Inc.",NKE,150966550528,NYQ
Union Pacific Corporation,UNP,148865105920,NYQ
AT&amp;T Inc. 5.35% GLB NTS 66,TBB,148582678528,NYQ
Philip Morris International Inc.,PM,146350407680,NYQ
HSBC Holdings plc,HSBC,145234296832,NYQ
Morgan Stanley,MS,144525164544,NYQ
Amgen Inc.,AMGN,144092545024,NMS
BHP Group Limited,BHP,141307150336,NYQ
ConocoPhillips,COP,141216251904,NYQ
Royal Bank of Canada,RY,140591923200,NYQ
"Lowe's Companies, Inc.",LOW,140475023360,NYQ
"Intuitive Surgical, Inc.",ISRG,140461047808,NMS
HDFC Bank Limited,HDB,139853955072,NYQ
Stryker Corporation,SYK,133940396032,NYQ
S&P Global Inc.,SPGI,132804616192,NYQ
"United Parcel Service, Inc.",UPS,130771386368,NYQ
Arm Holdings plc,ARM,130535317504,NMS
Honeywell International Inc.,HON,128929865728,NMS
"The Goldman Sachs Group, Inc.",GS,126061248512,NYQ
Unilever PLC,UL,124592422912,NYQ
RTX Corporation,RTX,123563442176,NYQ
"NextEra Energy, Inc.",NEE,123309998080,NYQ
The Charles Schwab Corporation,SCHW,122305773568,NYQ
AT&T Inc.,T,121955065856,NYQ
Anheuser-Busch InBev SA/NV,BUD,120993210368,NYQ
Sanofi,SNY,120676237312,NMS
The Progressive Corporation,PGR,119998210048,NYQ
"Mitsubishi UFJ Financial Group, Inc.",MUFG,119867670528,NYQ
"BlackRock, Inc.",BLK,119528939520,NYQ
"Elevance Health, Inc.",ELV,119377813504,NYQ
"Prologis, Inc.",PLD,119328153600,NYQ
Lam Research Corporation,LRCX,119315529728,NMS
Eaton Corporation plc,ETN,119011049472,NYQ
Booking Holdings Inc.,BKNG,116659109888,NMS
The Boeing Company,BA,111367938048,NYQ
"The TJX Companies, Inc.",TJX,111175786496,NYQ
